date,city,temp,feels_like,humidity,wind_speed,description
2025-07-09 13:16:29,Phoenix,105.49,111,14,3.44,sunny
2025-07-09 13:20:35,chicago,78.55,79.39,70,3.44,light rain
2025-07-09 13:21:46,Chicago,78.55,79.39,70,3.44,light rain
2025-07-09 13:28:46,chicago,78.55,79.39,70,3.44,light rain
2025-07-09 13:30:26,new york,88.86,95.58,57,6.91,clear sky
2025-07-09 13:32:35,new york,88.86,95.58,57,6.91,clear sky
2025-07-09 13:33:19,new york,88.86,95.58,57,6.91,clear sky
2025-07-09 14:04:51,buffalo,76.68,77.38,71,11.5,overcast clouds
2025-07-09 14:04:57,new york city,89.76,96.49,55,8.01,clear sky
2025-07-09 16:56:59,chicago,73,73.99,85,9.22,broken clouds
2025-07-09 17:11:03,New York,90.46,96.44,52,16.11,clear sky
2025-07-09 17:11:59,10950,79.93,79.93,34,10.13,clear sky